,Name,Price,Div_Returned,Shares_Owned,Equity
0,VIG,160.0,0.0,0.0,0.0
1,VIG,162.864,0.0,6.25,1000.0
2,VIG,165.7792656,15.87924,12.106742346988899,1971.7524856
3,VIG,168.74671445424002,31.309930939438946,17.589988520674073,2916.0553788697785
4,VIG,171.76728064297092,46.304743214364144,22.71857010646307,3833.684062563957
5,VIG,174.8419149664801,60.87598931362808,27.510431550835662,4725.392016801631
6,VIG,177.9715852443801,75.03563392887712,31.98267096784794,5591.911437761381
7,VIG,181.1572766202545,88.79530377895803,36.15157908530716,6433.9538388996925
8,VIG,184.39999187175707,102.16629715680953,40.0326764151388,7252.210635186438
9,VIG,187.70075172626153,115.1595932066779,43.64074872863223,8047.353710837177
10,VIG,191.06059518216162,127.78586093927413,46.989880913590305,8820.035971008409
11,VIG,194.48057983592233,140.05546799227557,50.093489286912984,9570.89187790883
12,VIG,197.96178221498533,151.97848914336504,52.964352432808596,10300.537971766758
13,VIG,201.50529811663358,163.5647145827976,55.61464063364109,11009.573377081531
14,VIG,205.11224295292132,174.82365795228813,58.05594395738067,11698.580294574564
15,VIG,208.78375210177862,185.7645641568202,60.29929906272257,12368.124479244012
16,VIG,212.52098126440046,196.3964169557907,62.355214780167124,13018.755704915575
17,VIG,216.32510682903325,206.7279463397236,64.23369652470912,13651.00821567089
18,VIG,220.19732624127295,216.76763569860987,65.94426959325848,14265.40116452421
19,VIG,224.13885838099173,226.5237287877594,67.49600139750369,14862.439039707535
20,VIG,228.1509439460115,236.00423649688545,68.89752268062725,15442.612078914277
21,VIG,232.23484584264511,245.21694342797872,70.15704776408555,16006.396671841532
22,VIG,236.39184958322846,254.16941428737294,71.2823938685679,16554.255751361576
23,VIG,240.62326369076825,262.86900009725076,72.28099955124667,17086.639173643707
24,VIG,244.930420110833,271.3228442316901,73.1599422995192,17603.9840875386
25,VIG,249.31467463081694,279.53788828220644,73.92595531961707,18106.71529352848
26,VIG,253.77740730670857,287.5208777576092,74.5854435567161,18595.245592537834
27,VIG,258.32002289749863,295.2783676228505,75.14449898151739,19069.976124891084
28,VIG,262.9439513073639,302.8167276814155,75.60891517668215,19531.296699695562
29,VIG,267.6506480357657,310.1421478056738,75.98420125498701,19979.586114920243
30,VIG,272.4415946356059,317.2606430194861,76.27559513962001,20415.212468432997
31,VIG,277.3182991795832,324.17805843723994,76.48807623565585,20838.533460251874
32,VIG,282.2822967348978,330.9000740633699,76.62637752043082,21249.896686258526
33,VIG,287.33514984645245,337.4322094563038,76.6949970792782,21649.639923614926
34,VIG,292.47844902870395,343.77982826066307,76.69820911188422,22038.091408117798
35,VIG,297.71381326631774,349.94814261144046,76.64007443337681,22415.570103718477
36,VIG,303.0428905237848,355.94221741377055,76.52445049316425,22782.38596442948
37,VIG,308.46735826416057,361.76697450180717,76.35500093349594,23138.8401888329
38,VIG,313.98892397708903,367.4271966801229,76.13520470871873,23485.225467399545
39,VIG,319.60932571627893,372.9275316509495,75.86836478525004,23821.826222821932
40,VIG,325.3303326466003,378.27249583048297,75.55761644137931,24148.918843558473
41,VIG,331.15374560097445,383.46647805738735,75.20593518514112,24466.771910780622
42,VIG,337.0813976472319,388.51374319654406,74.8161443076742,24775.64641890933
43,VIG,343.11515466511736,393.4184356410018,74.39092208868976,25075.79598992188
44,VIG,349.25691593362296,398.1845827150071,73.932808669917,25367.4670816051
45,VIG,355.5086147288348,402.81609798090693,73.44421261167221,25650.899189925934
46,VIG,361.87221893248096,407.31678445263947,72.92741714701043,25926.325045685553
47,VIG,368.3497316513724,411.6903377184519,72.38458614726048,26193.97080561847
48,VIG,374.943191847932,415.94034897540905,71.81776981211769,26454.056238093584
49,VIG,381.65467498200996,420.07030797818516,71.22891009686947,26706.79490356963
50,VIG,388.48629366418794,424.083605904559,70.61984588875704,26952.3943299532
51,VIG,395.4401983207769,427.983538139966,69.99231794393147,27191.056183003373
52,VIG,402.51857787071884,431.77330698339443,69.34797359594066,27422.976431922776
53,VIG,409.7236604146047,435.45602427684537,68.68837124618702,27648.345510271174
54,VIG,417.0577139360261,439.0347139605184,68.0149846463206,27867.34847233361
55,VIG,424.523047015481,442.5123145558188,67.32920698207937,28080.16514507155
56,VIG,432.1220095570581,445.8916815782259,66.63235476765583,28286.97027578176
57,VIG,439.85699352812946,449.17558988200483,65.92567155925589,28487.93367558425
58,VIG,447.730433712283,452.36673593868437,65.21033149612205,28683.220358856935
59,VIG,455.7448084757329,455.4677400511754,64.48744267691636,28872.99067873175
60,VIG,463.9026405474485,458.4811485053444,63.75805037899941,29057.400458763215
61,VIG,472.2064978132479,461.40943566081114,63.02314012779882,29236.601120877735
